私 ; わたし <br> Saya

あの人 ; あのひと <br> Orang itu (biasa)

あの方 ; あのかた <br> Orang itu (sopan)

～人 ; ～じん <br> Orang……

先生 ; せんせい <br> Guru, dosen

教師 ; きょうし <br> Guru, dosen (dipakai untuk kalangan sendiri)

学生 ; がくせい <br> Siswa, murid

会社員 ; かいしゃいん <br> Pegawai perusahaan

社員 ; しゃいん <br> Pegawai perusahaan

銀行員 ; ぎんこういん <br> Pegawai bank

医者 ; いしゃ <br> Dokter

研究者 ; けんきゅうしゃ <br> Peneliti

大学 ; だいがく <br> Universitas

病院 ; びょういん <br> Rumah sakit

～歳 ; ～さい <br> Umur……

何歳 ; なんさい <br> Umur berapa? (biasa)

～から来ました ; ～からきました <br> Datang dari……

どうぞよろしくお願します ; どうぞよろしくおねがいします <br> Terimalah perkenalan saya

失礼ですが ; しつれいですが <br> Permisi

お名前は ; おなまえは <br> Nama Anda siapa?

韓国 ; かんこく <br> Korea

中国 ; ちゅうごく <br> China

日本 ; にほん <br> Jepang
