直します ; なおします <br> Mengoreksi, memperbaiki

連れて行きます ; つれていきます <br> Mengajak pergi, membawa, mengantarkan

連れて来ます ; つれてきます <br> Membawa datang, membawa datang

送ります ; おくります （を） <br> Mengantar (orang)

紹介します ; しょうかいします <br> Memperkenalkan

案内します ; あんないします <br> Memandu, mengantarkan

説明します ; せつめいします <br> Menjelaskan, menerangkan

準備 ; じゅんび <br> Persiapan

引っ越し ; ひっこし <br> Pindah rumah

お菓子 ; おかし <br> Kue, snack, makanan ringan

全部 ; ぜんぶ <br> Semua

自分で ; じぶんで <br> Dengan sendiri

母の日 ; ははのひ <br> Hari ibu

贈答の習慣 ; ぞうとうのしゅうかん <br> Tukar menukar hadiah

お年玉 ; おとしだま <br> Hadiah kecil yang diberikan orang tua dan keluarga kepada anak-anak pada tahun baru

入学祝い ; にゅうがくいわい <br> Hadiah yang diberikan kepada anak yang masuk sekolah

卒業祝い ; そつぎょういわい <br> Hadiah yang diberikan kepada anak yang tamat sekolah

結婚祝い ; けっこんいわい <br> Hadiah perkawinan

出産祝い ; しゅっさんいわい <br> Hadiah yang diberikan kepada orang yang melahirkan

お中元／お歳暮 ; おちゅうげん／おせいぼ <br> Hadiah yang diberikan kepada orang yang telah memberi bantuan

お香典 ; おこうでん <br> Uang yang diberikan kepada keluarga yang berduka/uang duka

お見舞い ; おみまい <br> Hadiah yang diberikan kepada orang yang sedang sakit

熨斗袋 ; のしぶくろ <br> Amplop khusus untuk hadiah uang
