考えます ; かんがえます <br> Berpikir, memikirkan

着きます ; つきます <br> Tiba, sampai

取ります ; とります （としを～） <br> Berumur, usia lanjut

足ります ; たります <br> Cukup

田舎 ; いなか <br> Desa, kampung halaman

億 ; おく <br> Ratus juta

意味 ; いみ <br> Arti

転勤 ; てんきん <br> Pindah kerja, pindah ke kantor cabang lain

暇な ; ひまな <br> Senggang, waktu luang

いろいろお世話になりました ; いろいろおせわいなりました <br> Terima kasih banyak atas bantuan yang telah diberikan

頑張ります ; がんばります <br> Berusaha, bekerja keras

どうぞお元気で ; どうぞおげんきで <br> Semoga sehat-sehat selalu

人の一生 ; ひとのいっしょう <br> Seumur hidup manusia

青年 ; せいねん <br> Remaja

中年 ; ちゅうねん <br> Setengah baya

老人 ; ろうじん <br> Orang tua

保育園 ; ほいくえん <br> Play group

幼稚園 ; ようちえん <br> TK

短大 ; たんだい <br> Akademi

専門学校 ; せんもんがっこう <br> Sekolah tinggi keahlian, sekolah kejuruan

就職します ; しゅうしょくします <br> Mendapat pekerjaan

離婚します ; りこんします <br> Bercerai

再婚します ; さいこんします <br> Menikah lagi
