分かります ; わかります <br> Mengerti

好きな ; すき（な） <br> Suka, gemar

嫌いな ; きらい（な） <br> Benci

上手な ; じょうず（な） <br> Pandai, pintar

下手な ; へた（な） <br> Tidak pandai, tidak pintar, bodoh

飲み物 ; のみもの <br> Minuman

料理 ; りょうり <br> Masakan

野球 ; やきゅう <br> Baseball

旅行 ; りょこう <br> Tamasya

音楽 ; おんがく <br> Musik

歌 ; うた <br> Lagu

歌舞伎 ; かぶき <br> Kabuki (drama tradisional Jepang)

絵 ; え <br> Gambar

字 ; じ <br> Huruf

漢字 ; かんじ <br> Kanji

細かいお金 ; こまかいおかね <br> Uang kecil, receh

時間 ; じかん <br> Waktu

用事 ; ようじ <br> Urusan

約束 ; やくそく <br> Janji

ご主人 ; ごしゅじん <br> Suami orang lain

夫／主人 ; おっと／しゅじん <br> Suami

奥さん ; おくさん <br> Istri orang lain

妻／家内 ; つま／かない <br> Istri

子供 ; こども <br> Anak

少し ; すこし <br> Sedikit

全然 ; ぜんぜん <br> Sama sekali

早く／速く ; はやく <br> Dengan cepat

貸してください ; かしてください <br> Tolong pinjamkan

残念です ; ざんねんです <br> Sayang sekali

また今度お願いします ; またこんどおねがいします <br> Maaf lain kali saja

民謡 ; みんよう <br> Musik rakyat / nyanyian daerah

演歌 ; えんか <br> Lagu tradisional Jepang populer

恋愛 ; れんあい <br> Film percintaan

文芸 ; ぶんげい <br> Film kesusastraan

戦争 ; せんそう <br> Film peperangan

喜劇 ; きげき <br> Film komedi

卓球 ; たっきゅう／ピンポン <br> Pingpong

相撲 ; すもう <br> Sumo

柔道 ; じゅうどう <br> Judo

剣道 ; けんどう <br> Kendo

水泳 ; すいえい <br> Renang
