わたし <br> 私 ; Saya

あなた ; Kamu

あのひと <br> あの人 ; Orang itu (biasa)

あのかた <br> あの方 ; Orang itu (sopan)

～さん ; Saudara……

～ちゃん ; Panggilan untuk anak laki/perempuan

～じん <br> ～人 ; Orang……

せんせい <br> 先生 ; Guru, dosen

きょうし <br> 教師 ; Guru, dosen (dipakai untuk kalangan sendiri)

がくせい <br> 学生 ; Siswa, murid

かいしゃいん <br> 会社員 ; Pegawai perusahaan

しゃいん <br> 社員 ; Pegawai perusahaan

ぎんこういん <br> 銀行員 ; Pegawai bank

いしゃ <br> 医者 ; Dokter

けんきゅうしゃ <br> 研究者 ; Peneliti

だいがく <br> 大学 ; Universitas

びょういん <br> 病院 ; Rumah sakit

だれ ; Siapa (biasa)

どなた ; Siapa (sopan)

～さい <br> ～歳 ; Umur……

なんさい <br> 何歳 ; Umur berapa? (biasa)

おいくつ ; Umur berapa? (sopan)

はい ; Iya

いいえ ; Tidak

はじめまして ; Perkenalkan

～からきました <br> ～から来ました ; Datang dari……

どうぞよろしくおねがいします <br> どうぞよろしくお願します ; Terimalah perkenalan saya

しつれいですが <br> 失礼ですが ; Permisi

おなまえは <br> お名前は ; Nama Anda siapa?

アメリカ ; Amerika

イギリス ; Inggris

インド ; India

インドネシア ; Indonesia

かんこく <br> 韓国 ; Korea

ちゅうごく <br> 中国 ; China

ドイツ ; Jerman

にほん <br> 日本 ; Jepang

フランス ; Perancis
