かんたん（な） <br> 簡単な ; Mudah, gampang

ちかい <br> 近い ; Dekat

とおい <br> 遠い ; Jauh

はやい <br> 早い，速い ; Cepat

おそい <br> 遅い ; Lambat

おおい <br> 多い ; Banyak

すくない <br> 少ない ; Sedikit

あたたかい <br> 暖かい、温かい ; Hangat

すずしい <br> 涼しい ; Sejuk

あまい <br> 甘い ; Manis

からい <br> 辛い ; Pedas

おもい <br> 重い ; Berat

かるい <br> 軽い ; Ringan

いい ; Lebih baik

きせつ <br> 季節 ; Musim

てんき <br> 天気 ; Cuaca

あめ <br> 雨 ; Hujan

ゆき <br> 雪 ; Salju

くもり <br> 曇り ; Mendung

ホテル ; Hotel

くうこう <br> 空港 ; Bandara

うみ <br> 海 ; Laut

せかい <br> 世界 ; Dunia

パーティー ; Pesta

まつり <br> 祭り ; Perayaan

レモン ; Lemon

いけばな <br> 生け花 ; Seni merangkai bunga

もみじ <br> 紅葉 ; Maple

どちら ; Yang mana

どちらも ; Dua-duanya / yang mana saja

いちばん ; Yang paling

ずっと ; Selamanya

はじめて <br> 初めて ; Pertama kali

ただいま ; Saya pulang / saya kembali

おかえりなさい <br> お帰りなさい ; Sudah pulang ya...

わあ、すごいひとですね ; Wah...banyak orang

つかれました <br> 疲れました ; Capek / lelah

ホンコン ; Hongkong

シンガポール ; Singapura

めいしょ <br> 名所 ; Tempat terkenal
