できます ; Dapat, bisa, mampu

あらいます <br> 洗います ; Mencuci

ひきます <br> 弾きます ; Bermain (alat musik, piano)

うたいます <br> 歌います ; Menyanyi

あつめます <br> 集めます ; Mengumpulkan

すてます <br> 捨てます ; Membuang

かえます <br> 換えます ; Menukar, mengganti

うんてんします <br> 運転します ; Menyetir, mengendarai

よやくします <br> 予約します ; Memesan

ピアノ ; Piano

～メートル ; Meter

げんきん <br> 現金 ; Uang tunai

しゅみ <br> 趣味 ; Hobi, kegemaran

にっき <br> 日記 ; Catatan harian

おいのり <br> お祈り ; Doa

かちょう <br> 課長 ; Kepala seksi

ぶちょう <br> 部長 ; Kepala bagian

しゃちょう <br> 社長 ; Direktur utama

どうぶつ <br> 動物 ; Hewan

うま <br> 馬 ; Kuda

インターネット ; Internet

とくに <br> 特に ; Terutama, khususnya

それはおもしろいですね ; Itu menarik ya...

ほんとうですか <br> 本当ですか ; Betulkah, benarkah

ぜひ ; Pasti, benar-benar

なかなか ; Jarang, tidak mudah (diikuti bentuk negatif)

とぶ <br> 飛ぶ ; Terbang

とぶ <br> 跳ぶ ; Meloncat

のぼる <br> 登る ; Memanjat

はしる <br> 走る ; Berlari

およぐ <br> 泳ぐ ; Berenang

もぐる ; Menyelam

とびこむ <br> 飛び込む ; Terjun

さかだちする <br> 逆立ちする ; Berjungkir balik

はう ; Merayap

ける ; Menendang

ふる <br> 振る ; Melambaikan

もちあげる <br> 持ち上げる ; Mengangkat

なげる <br> 投げる ; Melempar

たたく ; Memukul

ひく <br> 引く ; Menarik

おす <br> 押す ; Menekan, mendorong

まげる <br> 曲げる ; Membengkokkan

のばす <br> 伸ばす ; Meluruskan

ころぶ <br> 転ぶ ; Jatuh

ふりむく <br> 振り向く ; Menengok ke belakang
