のぼります <br> 登ります、上ります ; Naik, mendaki

とまります （に） <br> 泊まります ; Menginap

そうじします <br> 掃除します ; Membersihkan

せんたくします <br> 洗濯します ; Mencuci pakaian

なります ; Menjadi

ねむい <br> 眠い ; Mengantuk

つよい <br> 強い ; Kuat

よわい <br> 弱い ; Lemah

れんしゅう <br> 練習 ; Latihan

ゴルフ ; Golf

すもう <br> 相撲 ; Sumo

おちゃ <br> お茶 ; Teh

ひ <br> 日 ; Hari

ちょうし <br> 調子 ; Kondisi

いちど <br> 一度 ; Sekali

いちども <br> 一度も ; Sekalipun

だんだん ; Sedikit demi sedikit, berangsur-angsur

もうすぐ ; Tidak lama lagi, sebentar lagi

おかげさまで ; Atas berkat (doa) anda

でも ; Tetapi

かんぱい <br> 乾杯 ; Toast

ダイエット ; Diet

むりな <br> 無理な ; Paksa, berlebihan, tidak mungkin

からだにいい <br> 体にいい ; Baik untuk tubuh

とうきょうスカイツリー ; Tokyo Sky Tree

さどう <br> 茶道 ; Upacara minum teh

かどう <br> 華道 ; Seni merangkai bunga

しょどう <br> 書道 ; Seni menulis huruf Jepang

かぶき <br> 歌舞伎 ; Kabuki (Drama tradisional Jepang)

のう <br> 能 ; Noh (Drama topeng tradisional)

ぶんらく <br> 文楽 ; Bunraku (Wayang golek tradisional Jepang)

じゅうどう <br> 柔道 ; Judo (Olahraga tradisional Jepang)

けんどう <br> 剣道 ; Kendo (Olahraga tradisional Jepang)

からて <br> 空手 ; Karate (olahraga beladiri Jepang)

まんざい。らくご <br> 漫才。落語 ; Lelucon, komedi

いご。しょうぎ <br> 囲碁。将棋 ; Catur Jepang

パチンコ ; Pachinko

カラオケ ; Karaoke

ぼんおどり <br> 盆踊り ; Tarian bon
