きます <br> 着ます ; Memakai (pakaian)

はきます ; Memakai (sepatu, celana)

かぶります ; Memakai (topi)

かけます （を） ; Memakai (kacamata)

します （を） ; Memakai (dasi)

うまれます <br> 生まれます ; Lahir

わたしたち ; Kami, kita

コート ; Mantel

セーター ; Sweter / baju hangat

スーツ ; Pakaian setelan

ぼうし <br> 帽子 ; Topi

めがね <br> 眼鏡 ; Kacamata

ケーキ ; Kue

おべんとう <br> お弁当 ; Bekal

ロボット ; Robot

ユーモア ; Humor

つごう <br> 都合 ; Kondisi, keadaan

よく ; Sering, dengan baik

おめでとうございます ; Selamat

では ; Kalau begitu

やちん <br> 家賃 ; Biaya sewa rumah

ダイニングキッチン ; Ruang makan dengan dapur

わしつ <br> 和室 ; Kamar ala Jepang

おしいれ <br> 押し入れ ; Lemari dinding ala Jepang

ふとん <br> 布団 ; Selimut dan kasur berisi kapas ala Jepang

パリ ; Paris

ばんりのちょうじょう <br> 万里の長城 ; Tembok besar Cina

ワンピース ; Pakaian terusan

うわぎ <br> 上着 ; Jas

パンツ ; Celana panjang

ジーンズ ; Celana jeans

スカート ; Rok

ブラウス ; Blus

ワイシャツ ; Kemeja

マフラー ; Syal, selendang

くつした <br> 靴下 ; Kaos kaki

ストッキング ; Stoking

レインコート ; Jas hujan

ベルト ; Sabuk, ikat pinggang

ハイヒール ; Sepatu berhak tinggi

ブーツ ; Sepatu bot

ぞうり ; Sandal tradisional Jepang

たび ; Kaos kaki tradisional Jepang

おび <br> 帯 ; Ikat pinggang tradisional Jepang
