くれます ; Diberikan

なおします <br> 直します ; Mengoreksi, memperbaiki

つれていきます <br> 連れて行きます ; Mengajak pergi, membawa, mengantarkan

つれてきます <br> 連れて来ます ; Membawa datang, membawa datang

おくります （を） <br> 送ります ; Mengantar (orang)

しょうかいします <br> 紹介します ; Memperkenalkan

あんないします <br> 案内します ; Memandu, mengantarkan

せつめいします <br> 説明します ; Menjelaskan, menerangkan

おじいさん／おじいちゃん ; Kakek

おばあさん／おばあちゃん ; Nenek

じゅんび <br> 準備 ; Persiapan

ひっこし <br> 引っ越し ; Pindah rumah

おかし <br> お菓子 ; Kue, snack, makanan ringan

ホームステイ ; Homestay

ぜんぶ <br> 全部 ; Semua

じぶんで <br> 自分で ; Dengan sendiri

ほかに ; Selain, yang lain

ははのひ <br> 母の日 ; Hari ibu

ぞうとうのしゅうかん <br> 贈答の習慣 ; Tukar menukar hadiah

おとしだま <br> お年玉 ; Hadiah kecil yang diberikan orang tua dan keluarga kepada anak-anak pada tahun baru

にゅうがくいわい <br> 入学祝い ; Hadiah yang diberikan kepada anak yang masuk sekolah

そつぎょういわい <br> 卒業祝い ; Hadiah yang diberikan kepada anak yang tamat sekolah

けっこんいわい <br> 結婚祝い ; Hadiah perkawinan

しゅっさんいわい <br> 出産祝い ; Hadiah yang diberikan kepada orang yang melahirkan

おちゅうげん／おせいぼ <br> お中元／お歳暮 ; Hadiah yang diberikan kepada orang yang telah memberi bantuan

おこうでん <br> お香典 ; Uang yang diberikan kepada keluarga yang berduka/uang duka

おみまい <br> お見舞い ; Hadiah yang diberikan kepada orang yang sedang sakit

のしぶくろ <br> 熨斗袋 ; Amplop khusus untuk hadiah uang
