かんがえます <br> 考えます ; Berpikir, memikirkan

つきます <br> 着きます ; Tiba, sampai

とります （としを～） <br> 取ります ; Berumur, usia lanjut

たります <br> 足ります ; Cukup

いなか <br> 田舎 ; Desa, kampung halaman

チャンス ; Kesempatan

おく <br> 億 ; Ratus juta

もし ; Kalau

いみ <br> 意味 ; Arti

てんきん <br> 転勤 ; Pindah kerja, pindah ke kantor cabang lain

こと ; Hal

ひまな <br> 暇な ; Senggang, waktu luang

いろいろおせわいなりました <br> いろいろお世話になりました ; Terima kasih banyak atas bantuan yang telah diberikan

がんばります <br> 頑張ります ; Berusaha, bekerja keras

どうぞおげんきで <br> どうぞお元気で ; Semoga sehat-sehat selalu

ひとのいっしょう <br> 人の一生 ; Seumur hidup manusia

せいねん <br> 青年 ; Remaja

ちゅうねん <br> 中年 ; Setengah baya

ろうじん <br> 老人 ; Orang tua

ほいくえん <br> 保育園 ; Play group

ようちえん <br> 幼稚園 ; TK

たんだい <br> 短大 ; Akademi

せんもんがっこう <br> 専門学校 ; Sekolah tinggi keahlian, sekolah kejuruan

しゅうしょくします <br> 就職します ; Mendapat pekerjaan

りこんします <br> 離婚します ; Bercerai

さいこんします <br> 再婚します ; Menikah lagi
